total_step,pong_steps,breakout_steps,pong_reward_mean10,breakout_reward_mean10,dead_neurons,cka_drift_from_pong
0,0,0,0.0,0.0,0.47265625,0.014586169166030928
100000,50000,50000,-21.0,0.2,0.640625,0.005589432750098295
200000,100000,100000,-20.9,1.0,0.869140625,0.007619776675294444
300000,150000,150000,-21.0,1.2,0.61328125,0.008032409572005277
400000,200000,200000,-21.0,1.1,0.60546875,0.005254586425302547
500000,250000,250000,-20.9,0.4,0.71484375,0.008868528701658097
600000,300000,300000,-21.0,0.7,0.7734375,0.008887904925539364
700000,350000,350000,-21.0,0.5,0.83203125,0.01429453303041197
800000,400000,400000,-20.9,1.2,0.853515625,0.010156478587337906
900000,450000,450000,-21.0,0.4,0.869140625,0.011295223617558805
1000000,500000,500000,-21.0,0.2,0.859375,0.007199830516850992
1100000,550000,550000,-21.0,0.2,0.869140625,0.011706391661650535
1200000,600000,600000,-21.0,0.4,0.888671875,0.012102953107667931
1300000,650000,650000,-21.0,0.6,0.892578125,0.011191595163888499
1400000,700000,700000,-21.0,0.7,0.87890625,0.010910271842268452
1500000,750000,750000,-21.0,0.5,0.896484375,0.01021715801004156
1600000,800000,800000,-21.0,0.3,0.87109375,0.012213311237181073
1700000,850000,850000,-21.0,0.5,0.8828125,0.011737861840370548
1800000,900000,900000,-21.0,0.4,0.873046875,0.010594262614763402
1900000,950000,950000,-21.0,0.5,0.90234375,0.008471173130974211
2000000,1000000,1000000,-21.0,0.4,0.921875,0.011247617703073106
2000000,1000000,1000000,-21.0,0.4,0.921875,0.01289905608259537
