breakout_step,pong_reward,dead_neurons,cka_drift
0,-20.9,0.197265625,0.06494734727757902
200000,-20.95,0.54296875,0.07384006722115988
400000,-21.0,0.6875,0.05087869590649853
600000,-21.0,0.7578125,0.03940325350955715
800000,-20.7,0.76171875,0.06186969897220261
1000000,-20.8,0.763671875,0.03653320821025366
1200000,-21.0,0.76953125,0.04078889435076841
1400000,-21.0,0.791015625,0.06705821844487787
1600000,-20.95,0.798828125,0.052162320645592265
1800000,-20.85,0.787109375,0.05050171487597696
2000000,-20.9,0.80078125,0.0825520957839328
2000000,-20.8,0.806640625,0.04329182971902201
