breakout_step,pong_reward,dead_neurons,cka_drift
0,9.1,0.87890625,0.03721875567628895
200000,-20.75,0.728515625,0.03312865120690397
400000,-21.0,0.7421875,0.03818485520542942
600000,-21.0,0.7734375,0.05630315551801724
800000,-20.95,0.783203125,0.038503725701651545
1000000,-20.95,0.8203125,0.03407243030997495
1200000,-20.75,0.814453125,0.042011895966586325
1400000,-20.85,0.833984375,0.04536970193075707
1600000,-20.75,0.828125,0.05906785705307407
1800000,-20.9,0.85546875,0.045230264349072326
2000000,-20.8,0.873046875,0.040628554174454844
2000000,-20.85,0.8671875,0.03237043268420516
